tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,startdate,enddate
1121,32:42.4,51:23.4,411,E 6 St & Avenue D,40.72228087,-73.97668709,412,Forsyth St & Canal St,40.7158155,-73.99422366,40624,Subscriber,1955,2,3/1/2020,3/1/2020
317,32:48.5,38:05.7,3783,Cliff St & Fulton St,40.70838,-74.00495,308,St James Pl & Oliver St,40.71307916,-73.99851193,40961,Subscriber,1953,1,3/1/2020,3/1/2020
761,36:35.9,49:17.7,482,W 15 St & 7 Ave,40.73935542,-73.99931783,520,W 52 St & 5 Ave,40.75992262,-73.97648516,41457,Subscriber,1990,1,3/1/2020,3/1/2020
208,38:04.6,41:33.2,3108,Nassau Ave & Russell St,40.72557,-73.94434,3668,Leonard St & Nassau Ave,40.72395678,-73.94984365,19482,Subscriber,1972,1,3/1/2020,3/1/2020
937,38:29.5,54:06.9,3259,9 Ave & W 28 St,40.74937024,-73.99923384,3739,Perry St & Greenwich Ave,40.735918,-74.000939,32048,Subscriber,1995,2,3/1/2020,3/1/2020
481,39:43.5,47:44.7,3549,Grand Ave & Bergen St,40.678045,-73.962408,3414,Bergen St & Flatbush Ave,40.68094472,-73.97567332,28707,Subscriber,1966,2,3/1/2020,3/1/2020
242,41:30.0,45:32.7,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,3158,W 63 St & Broadway,40.77163851,-73.98261428,14581,Subscriber,1971,2,3/1/2020,3/1/2020
690,41:37.8,53:07.9,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,401,Allen St & Rivington St,40.72019576,-73.98997825,40903,Subscriber,1986,1,3/1/2020,3/1/2020
2010,42:20.2,15:50.3,3709,W 15 St & 6 Ave,40.73804614,-73.99642959,3160,Central Park West & W 76 St,40.77896784,-73.97374737,31672,Subscriber,1994,2,3/1/2020,3/1/2020
1524,45:20.3,10:45.1,3177,W 84 St & Broadway,40.7867947,-73.977112,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,41251,Subscriber,1977,1,3/1/2020,3/1/2020
1573,46:01.0,12:14.8,312,Allen St & Stanton St,40.722055,-73.989111,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,41711,Subscriber,1979,1,3/1/2020,3/1/2020
683,46:13.3,57:36.8,3105,N 15 St & Wythe Ave,40.724055,-73.955736,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,38599,Customer,1992,1,3/1/2020,3/1/2020
1438,54:44.8,18:43.6,3255,8 Ave & W 31 St,40.75058535,-73.99468482,3171,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,38740,Subscriber,1990,1,3/1/2020,3/1/2020
637,56:00.8,06:37.9,440,E 45 St & 3 Ave,40.75255434,-73.97282625,492,W 33 St & 7 Ave,40.75019995,-73.99093085,30912,Subscriber,1993,1,3/1/2020,3/1/2020
329,58:11.7,03:41.5,3630,Frederick Douglass Blvd & W 115 St,40.8038654,-73.9559308,3553,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,39437,Subscriber,1984,2,3/1/2020,3/1/2020
518,01:35.6,10:14.1,3637,Fulton St & Waverly Ave,40.68323865,-73.96599591,3232,Bond St & Fulton St,40.68962189,-73.98304269,37706,Subscriber,1965,2,3/1/2020,3/1/2020
877,03:20.9,17:58.1,309,Murray St & West St,40.7149787,-74.013012,3746,6 Ave & Broome St,40.72430832,-74.00473036,27814,Subscriber,1985,1,3/1/2020,3/1/2020
676,04:01.2,15:18.1,3109,Banker St & Meserole Ave,40.72606,-73.95621,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,18375,Subscriber,1995,1,3/1/2020,3/1/2020
140,07:41.1,10:01.8,454,E 51 St & 1 Ave,40.75455731,-73.96592976,164,E 47 St & 2 Ave,40.75323098,-73.97032517,28067,Subscriber,1988,1,3/1/2020,3/1/2020
1146,08:00.8,27:07.1,376,John St & William St,40.70862144,-74.00722156,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,32345,Subscriber,1987,1,3/1/2020,3/1/2020
763,08:23.2,21:06.7,316,Fulton St & William St,40.70955958,-74.00653609,361,Allen St & Hester St,40.71605866,-73.99190759,27799,Subscriber,1981,1,3/1/2020,3/1/2020
1418,13:06.3,36:44.8,454,E 51 St & 1 Ave,40.75455731,-73.96592976,3804,Front St & Jay St,40.702461,-73.986842,36876,Subscriber,1982,1,3/1/2020,3/1/2020
